date,title
2025-11-06,06.11.2025 Как сокращение объема продажи валюты в ноябре повлияет на рубль
2025-11-05,05.11.2025 Главный экономист ВЭБа предложил создать фонды реинвестиций экспортной выручки
2025-11-04,04.11.2025 Год майнинга в правовом поле России: что изменилось в отрасли
2025-10-31,31.10.2025 ЦБ разрешил «ОТП банку» оценивать доходы заемщиков по собственной модели
2025-10-31,31.10.2025 Банки с 1 ноября будут получать поощрение за возврат похищенных средств
2025-10-30,30.10.2025 Т-банк вернул через чарджбэк 121 млн рублей пострадавшим от банкротств турагентов
2025-10-30,30.10.2025 Банки почти перестали консультировать клиентов в иностранных мессенджерах
2025-10-29,29.10.2025 Банки планируют активно развивать оплату по биометрии в следующем году
2025-10-29,29.10.2025 Пределы выбора
2025-10-28,28.10.2025 Швейцария лишила россиян преимуществ договора к Энергетической хартии
2025-10-28,28.10.2025 Число пользователей сервисов рассрочки выросло почти втрое в 2023–2025 годах
2025-10-28,28.10.2025 «Кибердочка» МТС начнет компенсировать ущерб от пропущенных атак
2025-10-28,28.10.2025 Сбербанк оценил расходы банков от введения НДС на эквайринг
2025-10-28,28.10.2025 «По сценарию выхода из перегрева». Главные заявления Набиуллиной в Госдуме
2025-10-27,27.10.2025 Регулирование не повысило качество страхования жизни и здоровья заемщиков
2025-10-26,26.10.2025 Банки не спешат снижать ставки по кредитам и депозитам вслед за ключевой
2025-10-24,24.10.2025 Эксперты оценили влияние новых санкций ЕС на международные платежи
2025-10-21,21.10.2025 Банки подвели первые итоги работы периода охлаждения по кредитам
2025-10-21,21.10.2025 Почему крупные банки стали поднимать ставки по вкладам
2025-10-20,20.10.2025 Количество атак умных ботов на МФО выросло почти на четверть с начала года
2025-10-19,19.10.2025 Банки США наращивают прибыль
2025-10-19,19.10.2025 «Формула-1» не возвращает аванс российскому промоутеру из опасения связей с ВТБ
2025-10-17,17.10.2025 Чистая прибыль российских банков в сентябре резко выросла
2025-10-17,17.10.2025 У МФО радикально выросло количество повторных клиентов за последние четыре года
2025-10-16,16.10.2025 Страховщики снизили прогнозы по медицинской инфляции в корпоративном ДМС
2025-10-16,16.10.2025 Т-банк планирует открыть исследовательский центр по ИИ в Китае
2025-10-14,14.10.2025 Коллекторы купили рекордный объем долгов МФО за девять месяцев
2025-10-13,13.10.2025 У страховщиков появится единый сервис против мошенников
2025-10-12,12.10.2025 Банки оценили идею создания равноудаленного ИИ-помощника
2025-10-12,12.10.2025 ЦБ отменил голосование по выбору символов для новой банкноты в 500 рублей
2025-10-10,10.10.2025 Майнерам не хватает валютных кредитов
2025-10-10,10.10.2025 Банки и Wildberries ответили Совету Федерации о регулировании скидок
2025-10-08,08.10.2025 ЦБ и банкиры продолжают долгий спор о монополии в финтехе
2025-10-08,08.10.2025 Четыре крупнейших банка начнут обмениваться данными о счетах через открытые API
2025-10-08,08.10.2025 Альфа-банк поднял вопрос создания конкурента НСПК
2025-10-07,07.10.2025 В Госдуму внесен законопроект о страховании «металлических счетов»
2025-10-07,07.10.2025 Платежный агент ПСБ запустил криптовексель для международных расчетов
2025-10-07,07.10.2025 Бывшая структура Сбербанка не смогла оспорить вытеснение из капитала Fortenova
2025-10-06,06.10.2025 Крупные кредитные риски в топ-10 банков достигли рекордной отметки
2025-10-05,05.10.2025 На финансовом рынке появятся новые участники
2025-09-30,30.09.2025 Австрийские акционеры Strabag отозвали запрос на арбитраж с российским
2025-09-30,30.09.2025 ФНС стала требовательнее к «специальным» валютным резидентам
2025-09-29,29.09.2025 Дочь угольщика Александра Щукина пытаются обанкротить в Англии
2025-09-29,29.09.2025 АРФГ назвала основные нарушения при продажах инвестпродуктов в банках
2025-09-29,29.09.2025 Как Банк России собирается решить проблему дропов
2025-09-25,25.09.2025 ЦБ обсудит повышение минимального размера капитала банков
2025-09-25,25.09.2025 Банки не хотят принимать на себя процентные риски
2025-09-25,25.09.2025 Банки маркетплейсов ответили на идею Костина признать их системно значимыми
2025-09-25,25.09.2025 Мосбиржа планирует полностью импортозаместить IT-инфраструктуру к 2027 году
2025-09-25,25.09.2025 Банк России назвал критерии своего участия в создании финансовых сервисов
2025-09-23,23.09.2025 Банки запускают вклады-акции с повышенной доходностью
2025-09-22,22.09.2025 Швейцарские банки борются за «хороших русских»
2025-09-22,22.09.2025 Банк России анализирует продажи долевого страхования жизни
2025-09-22,22.09.2025 Сбербанк запустил платформу социальных налоговых вычетов
2025-09-22,22.09.2025 Банки обратились в Минцифры с просьбой разрешить звонки без согласия клиента
2025-09-22,22.09.2025 Объем расторгнутых полисов в период охлаждения упал в первом полугодии
2025-09-18,18.09.2025 Половина самозанятых сталкиваются с проблемами при попытке взять кредит
2025-09-18,18.09.2025 Кто посетил Московский финансовый форум
2025-09-17,17.09.2025 Телефонные мошенники всё детальнее изучают жертв
2025-09-17,17.09.2025 Количество рекламы раздолжнителей в интернете выросло за полгода почти до 2 млн
2025-09-16,16.09.2025 Некогда близкий к Порошенко фонд-«стервятник» пытается ворваться в дело Фридмана
2025-09-16,16.09.2025 Пятая часть граждан не справляется с собственной долговой нагрузкой
2025-09-15,15.09.2025 Снижение ключевой ставки вновь меняет проценты по кредитам и вкладам
2025-09-15,15.09.2025 Крупные российские банки нашли замену чипам Nvidia
2025-09-12,12.09.2025 Банк России снизил ключевую ставку до 17%
2025-09-11,11.09.2025 Конституционный суд разберется в законе о финансовом уполномоченном
2025-09-11,11.09.2025 Спор о «вредных советах» Фридмана разваливается в Англии
2025-09-10,"10.09.2025 Внедрение ИИ может принести банкам до 1,9 трлн рублей прибыли через пять лет"
2025-09-09,09.09.2025 Американский банк судится с «Альфастрахованием» в Англии
2025-09-09,09.09.2025 Страховщики жизни ждут замедления роста бизнеса по итогам 2025 года
2025-09-08,"08.09.2025 Сбербанк рассказал, сколько банков тестируют его «Вжух»"
2025-09-07,07.09.2025 Банки выступают против оценки доходов граждан только по официальным документам
2025-09-05,05.09.2025 «Газпром нефть» получила рейтинг в Китае вслед за «Газпромом»
2025-09-05,"05.09.2025 Греф рассказал, без чего невозможно достичь технологического лидерства"
2025-09-04,04.09.2025 Сбербанк запустил оплату покупок частями для индивидуальных предпринимателей
2025-09-04,04.09.2025 ПСБ раскрыл объем переводов через созданного им платежного агента А7
2025-09-04,04.09.2025 Греф на ВЭФ назвал необходимый уровень ключевой ставки для оживления экономики
2025-09-03,03.09.2025 Заявленные убытки по страхованию дебиторской задолженности резко выросли
2025-09-03,03.09.2025 Минфин прокомментировал обсуждаемые изменения в льготную ипотеку
2025-09-02,02.09.2025 ВТБ оценил эффективность биометрии в борьбе с мошенниками
2025-09-01,01.09.2025 Установить и снять самозапрет на кредиты с 1 сентября можно через МФЦ
2025-09-01,01.09.2025 ВТБ почти удвоил комиссию за переводы в бразильских реалах
2025-09-01,01.09.2025 Участники программы ПДС получили первое софинансирование от государства
2025-09-01,"01.09.2025 Чистая прибыль Альфа-банка выросла до 118,7 млрд рублей по итогам полугодия"
2025-09-01,01.09.2025 Попавший под санкции ЕС китайский банк остановил расчеты с Россией
2025-08-28,28.08.2025 Правительство не одобрило полного запрета погашения старого займа в МФО новым
2025-08-27,27.08.2025 Как МФО будут передавать ЦБ данные о мошенниках
2025-08-27,27.08.2025 С сентября россияне не смогут моментально получать кредитные деньги
2025-08-27,27.08.2025 ВТБ рассказал о «шахматах» международных расчетов
2025-08-27,27.08.2025 Мировые ЦБ активизировали работу над цифровыми валютами из-за стейблкойнов
2025-08-27,27.08.2025 НСПК разработала сервис для борьбы с банкоматным мошенничеством
2025-08-25,25.08.2025 ЦБ задумал ограничить бонусы банкирам
2025-08-25,25.08.2025 Общества взаимного страхования пользуются все большей популярностью
2025-08-24,24.08.2025 Дагестан покинул красную зону риска недобросовестных действий в ОСАГО
2025-08-24,24.08.2025 Просрочка по микрозаймам выросла после длительного снижения
2025-08-21,21.08.2025 Банки наращивают мобильность
2025-08-21,21.08.2025 Частота страховых случаев с такси снижается третий год подряд
2025-08-21,21.08.2025 Финансовые результаты «Т-технологий» превзошли ожидания рынка
2025-08-21,21.08.2025 Группа компаний «Максима» и S8 Capital станут совладельцами «Аквариуса»
2025-08-20,20.08.2025 ЦБ рекомендовал банкам не отдавать критически важные процессы на аутсорсинг
2025-08-19,19.08.2025 Банковские МФО наращивают долю в выдачах
2025-08-18,18.08.2025 Отчетность БСПБ оставила смешанные ощущения у аналитиков
2025-08-17,17.08.2025 Банк России призвал платежных агентов не медлить с объединением в СРО
2025-08-17,17.08.2025 Страховщики сообщили о всплеске спроса на защиту от киберрисков
2025-08-15,15.08.2025 Генпрокуратура подала иск к Банку Латвии и латвийскому Rietumu Banka
2025-08-12,12.08.2025 Банки поощряют погашение кредиток конкурентов своими картами
2025-08-11,11.08.2025 «Озон банк» осенью запустит собственные платежные терминалы
2025-08-11,11.08.2025 Ваэ Овасапян: «Мы дитя СБП»
2025-08-10,10.08.2025 Спор о «вредных советах» Фридмана откладывается из-за позиции украинского банка
2025-08-10,10.08.2025 Т-банк начал устанавливать терминалы для оплаты биометрией
2025-08-07,07.08.2025 В 2025 году РНПК ждет пика выплат по убыткам
2025-08-07,07.08.2025 ВТБ запускает депозиты в индийских рупиях для бизнеса
2025-08-06,06.08.2025 Выдачи ипотеки растут шестой месяц подряд
2025-08-05,05.08.2025 Параметры дифференцированных ставок по ипотеке начнут разрабатывать осенью
2025-08-05,05.08.2025 Власти Албании хотят запретить наличный расчет к 2030 году
2025-08-04,04.08.2025 Украина попросила о снисхождении в споре со структурой Фридмана из-за СВО
2025-08-04,04.08.2025 Глава «Интерроса» раскрыл детали СП с «Т-технологиями»
2025-08-04,04.08.2025 Сергей Батехин: «Контролировать не всегда хорошо»
2025-08-03,03.08.2025 Коллекторы скупают у МФО все больше молодых долгов заемщиков
2025-08-03,03.08.2025 Обмен криптовалют на рубли стал происходить с сильным дроблением переводов
2025-07-31,31.07.2025 «Озон банк» начал массовый выпуск кредитных карт
2025-07-31,31.07.2025 Решение Лондонского арбитража повлияло на планы ВТБ по интеграции БМ-банка
2025-07-30,30.07.2025 Альфа-банк предлагает изменить процедуру перевода замороженной пенсии в ПДС
2025-07-29,29.07.2025 Сбербанк сохраняет цель удерживать рентабельность капитала выше 22%
2025-07-29,29.07.2025 Банки попросили у ЦБ на аукционе почти 4 трлн рублей
2025-07-29,29.07.2025 Средняя ставка по вкладам на три месяца упала ниже 17%
2025-07-29,29.07.2025 Греф рассказал Путину о падении прибыльности ипотечного бизнеса
2025-07-28,28.07.2025 В Т-банке не согласились с ЦБ по поводу принудительной замены банковских карт
2025-07-27,27.07.2025 Ключевая ставка 18%: что будет с кредитами и депозитами
2025-07-27,27.07.2025 Факторинговые компании попросили Мишустина о справедливом налогообложении
2025-07-25,25.07.2025 Банк России снизил ключевую ставку сразу до 18%
2025-07-25,25.07.2025 Правительство рассматривает идею дифференциации ставки по льготной ипотеке
2025-07-24,"24.07.2025 За полгода россияне оплатили через СБП покупки на 4,1 трлн рублей"
2025-07-23,23.07.2025 Количество фальшивых рублевых купюр остается на историческом минимуме
2025-07-22,22.07.2025 Банки предлагают клиентам кредитки без льготного периода
2025-07-22,22.07.2025 Бизнес жалуется на задержки платежей в Омане
2025-07-21,21.07.2025 РНПК впервые в истории обогнала классических страховщиков по прибыли
2025-07-20,20.07.2025 Депутаты пересмотрели законопроект о рассрочке ко второму чтению
2025-07-19,19.07.2025 ЕС ввел санкции против 22 российских банков
2025-07-18,18.07.2025 Средства граждан в банках в июне резко выросли
2025-07-17,17.07.2025 Суд не позволил взыскать долг UBS с его российских «дочек»
2025-07-17,17.07.2025 В Совфеде предложили «переселить» криптовалюты в САР
2025-07-17,17.07.2025 Сбербанк предложил сделать банки центрами учета и хранения криптовалют
2025-07-16,16.07.2025 «Траст» пытался посадить в английскую тюрьму жену своего бывшего владельца
2025-07-15,15.07.2025 Суд Англии вопреки санкциям разрешил выплату арендной платы жене Германа Хана
2025-07-15,15.07.2025 Бывшую виллу Беджамова в Италии не поделят между его кредиторами
2025-07-15,15.07.2025 Для строительства головного офиса ПСБ в Ярославле могут снести стадион «Шинник»
2025-07-14,14.07.2025 Банки продолжают снижать ставки по вкладам
2025-07-13,13.07.2025 Депутаты снова пытаются ограничить работу МФО и коллекторов
2025-07-10,10.07.2025 Почему курс биткойна обновил ценовой максимум
2025-07-10,10.07.2025 Тихвинский завод назвал незаконным арест капитала по просьбе дочери Гурьева
2025-07-09,09.07.2025 Суд арестовал 100% долей завода в Ленобласти по иску дочери Гурьева
2025-07-09,09.07.2025 Бывший Sberbank Europe не смог оспорить ликвидацию в суде ЕС
2025-07-09,09.07.2025 ЦБ разработал кодекс этики ИИ в финансах
2025-07-07,07.07.2025 Банки по-прежнему видят спрос на платежные стикеры
2025-07-07,07.07.2025 ЦБ обсудит возможность создания фонда фондов на рынке коллективных инвестиций
2025-07-07,07.07.2025 Банкиры дали первые отзывы на реформу оценки их экономической устойчивости
2025-07-07,07.07.2025 Конституционный суд уточнит судьбу арестованного имущества в банкротстве
2025-07-03,03.07.2025 Набиуллина назвала абсолютно необоснованными опасения о банковском кризисе
2025-07-03,03.07.2025 Минфин планирует точечно донастроить НДС для плательщиков УСН
2025-07-02,02.07.2025 Глава Сбербанка не верит в цифровой рубль
2025-07-02,02.07.2025 Набиуллина назвала слабый курс рубля признаком уязвимости экономики
2025-07-02,02.07.2025 В России появились инвестиционные полисы с привязкой к биткойну
2025-07-01,01.07.2025 Доля просроченных гражданами кредитов в ВТБ подошла к уровням кризисных лет
2025-06-30,30.06.2025 Страховщики повышают оценки инфляции в медицине на конец года
2025-06-30,30.06.2025 Банк России подвел первые итоги пилотирования цифрового рубля
2025-06-29,29.06.2025 Мошенники используют аккаунты граждан в букмекерских конторах для кражи денег
2025-06-29,29.06.2025 Россияне с самозапретами сократили попытки оформить кредит
2025-06-27,27.06.2025 «Займер» покупает небольшой коммерческий банк
2025-06-26,26.06.2025 Рынок и регуляторы обсуждают учет тахографов при расчете ОСАГО для грузовиков
2025-06-26,26.06.2025 Приток средств граждан во вклады резко замедлился в мае
2025-06-25,25.06.2025 Массовое использование цифрового рубля может начаться в сентябре 2026 года
2025-06-25,25.06.2025 ЦБ описал новый подход к оценке финансового состояния банка
2025-06-24,24.06.2025 Гознак и BFS импортозаместят «нижнюю часть» банкомата
2025-06-24,24.06.2025 Коллекторы купили рекордный за последние три года объем долгов МФО
2025-06-23,23.06.2025 Банки вернули гражданам похищенные 100 млн рублей через сервис НСПК
2025-06-23,23.06.2025 В ВТБ сравнили уровень реструктуризаций бизнеса с «детскими штанишками»
2025-06-22,22.06.2025 Зачем Wildberries собственные пластиковые банковские карты
2025-06-19,19.06.2025 ВТБ раскрыл итоги голосования за рублификацию валютных субордов
2025-06-19,19.06.2025 «Сбер» допустил снижение ставок по кредитам и вкладам до конца июля
2025-06-19,19.06.2025 Платежный агент Илана Шора выйдет на зарубежные рынки
2025-06-19,19.06.2025 Как власти и бизнес хотят заинтересовать граждан пенсионными накоплениями
2025-06-18,18.06.2025 Доля повторных клиентов у МФО превышает 70% последние три года
2025-06-18,18.06.2025 НПФ Т-банка намерен управлять «замороженными» пенсионными накоплениями россиян
2025-06-17,17.06.2025 Суд Гааги отказался передать активы «Газпрома» украинской компании
2025-06-17,17.06.2025 Госбанкам придется закупать больше российского оборудования
2025-06-17,17.06.2025 Обманутый китайскими мошенниками бизнес попадает в поле зрения регуляторов
2025-06-12,12.06.2025 Россия получила второй суверенный рейтинг в Китае
2025-06-10,10.06.2025 ЦБ снизит нагрузку на капитал банков при кредитовании ГЧП-проектов
2025-06-10,10.06.2025 ВТБ начал тестирование альтернативы Apple Pay от НСПК
2025-06-10,10.06.2025 Специальная валютная операция
2025-06-10,10.06.2025 Российский совладелец Strabag снова судится с Райффайзенбанком
2025-06-09,09.06.2025 Долги граждан перед застройщиками за рассрочку достигли 1 трлн рублей
2025-06-09,09.06.2025 Что будет с процентами по вкладам и кредитам после снижения ключевой ставки
2025-06-06,06.06.2025 Главные заявления Набиуллиной после снижения ключевой ставки
2025-06-06,06.06.2025 Как эксперты и аналитики отреагировали на снижение ключевой ставки ЦБ
2025-06-06,06.06.2025 Банк России снизил ключевую ставку впервые с 2022 года
2025-06-05,05.06.2025 Турецкий бизнес практически не ушел из России после санкций
2025-06-04,04.06.2025 Две трети россиян обладают базовым уровнем цифровой финансовой культуры
2025-06-04,04.06.2025 Потенциал роста вкладов за счет средств богатых россиян исчерпан
2025-06-04,04.06.2025 ЦБ рассказал об использовании теневым бизнесом корпоративных карт для расчетов
2025-06-03,03.06.2025 Крепкий рубль может раздуть планы Минфина по выпуску ОФЗ
2025-06-02,02.06.2025 ВТБ переходит на российские компьютеры и планшеты
2025-06-02,"02.06.2025 С начала года страховщики продали более 1,6 млн коротких полисов ОСАГО"
2025-06-01,01.06.2025 Зачем Совкомбанку перезапуск банка для хипстеров
2025-05-30,30.05.2025 «Сбермобайл» увеличил абонентскую базу почти в 2 раза за год
2025-05-29,29.05.2025 Банки блокируют счета платежных агентов и требуют комиссию с каждой сделки
2025-05-29,"29.05.2025 В Совкомбанке рассказали, откуда пошли слухи о заморозке вкладов"
2025-05-29,29.05.2025 Профучастники запускают инструменты с привязкой к криптовалютам
2025-05-29,29.05.2025 Совкомбанк получил средства из ФНБ в рамках финансирования стройки ВСМ
2025-05-29,29.05.2025 У богатых клиентов рухнула лояльность к банкам
2025-05-29,29.05.2025 Сергей Хотимский: «Банки мы всегда покупали выгодно»
2025-05-28,28.05.2025 Объем потоков криптоактивов россиян превысил 7 трлн рублей
2025-05-28,28.05.2025 ЦБ предложил отключать от госпрограмм банки с комиссиями для застройщиков
2025-05-27,27.05.2025 В РНПК рассказали о тенденциях российского рынка перестрахования
2025-05-27,27.05.2025 ЦБ доработал концепцию регулирования вложений банков в непрофильные активы
2025-05-27,27.05.2025 Страхование грузов продолжает расти вместе с убыточностью
2025-05-25,25.05.2025 Займы сроком свыше года составили почти половину выдач в I квартале 2025 года
2025-05-23,23.05.2025 МВД предложило ввести тотальный базовый запрет брать кредиты
2025-05-22,22.05.2025 ЦБ с 2027 года хочет по-новому определять системно значимые банки
2025-05-22,22.05.2025 «Т-технологии» получили контроль в совладельце «Точки»
2025-05-21,21.05.2025 Портфель микрозаймов вырос в I квартале при сокращении выдач
2025-05-20,20.05.2025 Как деэскалация изменит российский страховой рынок
2025-05-20,20.05.2025 «Юникредит» остановит исходящие переводы в долларах для физлиц после 6 июня
2025-05-19,19.05.2025 Рынок POS-кредитов сжимается под давлением высоких ставок
2025-05-19,19.05.2025 «Эксперт РА» ухудшило прогнозы по прибыли банков и кредитованию на 2025 год
2025-05-19,19.05.2025 Минюст разработал законопроект об аресте и конфискации криптовалюты
2025-05-16,16.05.2025 «Русхимальянс» одержал победу над немецкими банками в войне антиисковых запретов
2025-05-16,16.05.2025 Эксперимент по партнерскому финансированию могут продлить до 2030 года
2025-05-14,14.05.2025 Структуру «Волга-Днепра» обязали заплатить $200 млн ирландским лизингодателям
2025-05-14,14.05.2025 Дропперам ограничили объем переводов
2025-05-14,14.05.2025 «Аквариус» попросил Путина о мерах поддержки IT-компаний для выхода на биржу
2025-05-14,14.05.2025 Банки раскрыли спрос на семейную ипотеку на «вторичку»
2025-05-13,13.05.2025 Банки начали отменять комиссии для застройщиков по льготной ипотеке
2025-05-11,11.05.2025 АРФГ назвала основные нарушения при продажах услуг в офисах банков
2025-05-07,07.05.2025 РСА назвал количество купленных полисов ОСАГО на 24 часа
2025-05-06,06.05.2025 Доля Райффайзенбанка в прибыли австрийской группы остается выше 50%
2025-05-06,06.05.2025 В Англии приостановили исполнение решения по делу «Крымэнерго» против России
2025-05-05,05.05.2025 Лизингодатели российских самолетов отказались от исков к страховщикам в Ирландии
2025-04-29,29.04.2025 В России снизилось число заемщиков с ипотекой и потребкредитами одновременно
